model,seed,bucket,recall_at_5,users
lightgcn_k2,6,lower-mid,0.438917089678511,197
lightgcn_k2,6,upper-mid,0.5049621212121213,220
lightgcn_k2,6,head,0.5923698781838318,215
lightgcn_k2,7,tail,0.32891156462585036,196
lightgcn_k2,7,lower-mid,0.43824027072758037,197
lightgcn_k2,7,upper-mid,0.5016612554112554,220
lightgcn_k2,7,head,0.6017386489479514,215
lightgcn_k2,8,tail,0.2899659863945578,196
lightgcn_k2,8,lower-mid,0.44695431472081226,197
lightgcn_k2,8,upper-mid,0.4858387445887446,220
lightgcn_k2,8,head,0.5795681063122924,215
lightgcn_k2,9,tail,0.3261904761904762,196
lightgcn_k2,9,lower-mid,0.4063451776649746,197
lightgcn_k2,9,upper-mid,0.4914772727272727,220
lightgcn_k2,9,head,0.5929014396456257,215
lightgcn_k2,10,tail,0.318452380952381,196
lightgcn_k2,10,lower-mid,0.4417089678510999,197
lightgcn_k2,10,upper-mid,0.4890909090909091,220
lightgcn_k2,10,head,0.5944186046511628,215
lightgcn_k2,11,tail,0.30467687074829936,196
lightgcn_k2,11,lower-mid,0.40812182741116754,197
lightgcn_k2,11,upper-mid,0.496969696969697,220
lightgcn_k2,11,head,0.58452934662237,215
lightgcn_k2,12,tail,0.3323979591836735,196
lightgcn_k2,12,lower-mid,0.42453468697123514,197
lightgcn_k2,12,upper-mid,0.4976190476190476,220
lightgcn_k2,12,head,0.5785271317829458,215
lightgcn_k2,13,tail,0.30161564625850334,196
lightgcn_k2,13,lower-mid,0.3973773265651438,197
lightgcn_k2,13,upper-mid,0.5180303030303031,220
lightgcn_k2,13,head,0.5970874861572537,215
lightgcn_k2,14,tail,0.29387755102040813,196
lightgcn_k2,14,lower-mid,0.4114213197969544,197
lightgcn_k2,14,upper-mid,0.5282251082251083,220
lightgcn_k2,14,head,0.588482834994463,215
lightgcn_k2,15,tail,0.31981292517006804,196
lightgcn_k2,15,lower-mid,0.4212351945854484,197
lightgcn_k2,15,upper-mid,0.4864069264069264,220
lightgcn_k2,15,head,0.5875526024363233,215
lightgcn_k2,16,tail,0.3113095238095238,196
lightgcn_k2,16,lower-mid,0.43240270727580377,197
lightgcn_k2,16,upper-mid,0.5124242424242424,220
lightgcn_k2,16,head,0.5931782945736436,215
lightgcn_k2,17,tail,0.29770408163265305,196
lightgcn_k2,17,lower-mid,0.44060913705583754,197
lightgcn_k2,17,upper-mid,0.5359469696969696,220
lightgcn_k2,17,head,0.582624584717608,215
lightgcn_k2,18,tail,0.31760204081632654,196
lightgcn_k2,18,lower-mid,0.4293570219966159,197
lightgcn_k2,18,upper-mid,0.49673701298701306,220
lightgcn_k2,18,head,0.5789922480620155,215
lightgcn_k2,19,tail,0.3186224489795918,196
lightgcn_k2,19,lower-mid,0.4417089678510998,197
lightgcn_k2,19,upper-mid,0.4864069264069264,220
lightgcn_k2,19,head,0.5737984496124032,215
lightgcn_k3,0,tail,0.3048469387755102,196
lightgcn_k3,0,lower-mid,0.4289340101522843,197
lightgcn_k3,0,upper-mid,0.5143939393939394,220
lightgcn_k3,0,head,0.6036434108527132,215
lightgcn_k3,1,tail,0.2985544217687075,196
lightgcn_k3,1,lower-mid,0.42961082910321485,197
lightgcn_k3,1,upper-mid,0.5139069264069265,220
lightgcn_k3,1,head,0.5991029900332225,215
lightgcn_k3,2,tail,0.31760204081632654,196
lightgcn_k3,2,lower-mid,0.42707275803722505,197
lightgcn_k3,2,upper-mid,0.5073593073593073,220
lightgcn_k3,2,head,0.6163233665559247,215
lightgcn_k3,3,tail,0.28409863945578234,196
lightgcn_k3,3,lower-mid,0.4334179357021996,197
lightgcn_k3,3,upper-mid,0.5294696969696969,220
lightgcn_k3,3,head,0.6270210409745293,215
lightgcn_k3,4,tail,0.29515306122448975,196
lightgcn_k3,4,lower-mid,0.42225042301184434,197
lightgcn_k3,4,upper-mid,0.5103463203463203,220
lightgcn_k3,4,head,0.6126799557032115,215
lightgcn_k3,5,tail,0.29515306122448975,196
lightgcn_k3,5,lower-mid,0.41666666666666663,197
lightgcn_k3,5,upper-mid,0.5178030303030302,220
