dataset,model,seed,k_layers,gamma,residual,embedding_dim,epochs,batch_size,lr,weight_decay,topk,ndcg_at_5,recall_at_5,head_item_share,avg_recommended_train_degree,js_recommendation_vs_random_test,n_eval_users,runtime_seconds,used_cuda
coat,corrected_k2_stronger,15,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6677661602724996,0.48254833837574057,0.14519572953736654,14.303202846975092,0.03995611389156281,281,9.522161960601807,True
coat,zero_hop,16,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6603264848735614,0.480390857659541,0.1387900355871886,13.960142348754449,0.04773541999449119,281,6.959092378616333,True
coat,lightgcn_k1,16,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6811095577067348,0.5075310464545341,0.14448398576512456,14.350889679715301,0.04545361772383467,281,8.048250198364258,True
coat,lightgcn_k2,16,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6895358119033919,0.5127181487946613,0.15231316725978647,14.756583629893239,0.053230237933552284,281,8.962138891220093,True
coat,lightgcn_k3,16,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6931643469150134,0.5212647623234812,0.1601423487544484,15.222775800711744,0.06363276251005655,281,12.567172765731812,True
coat,corrected_k2,16,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6811615597399776,0.4993406504527501,0.14306049822064057,14.254092526690393,0.04627987073207367,281,9.225460529327393,True
coat,corrected_k2_stronger,16,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6791510297477712,0.49595999591551193,0.14661921708185055,14.340213523131672,0.04537733649950345,281,9.267952919006348,True
coat,zero_hop,17,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6718123826140131,0.4931552087690878,0.13594306049822066,13.848398576512455,0.03956502851479757,281,6.865566968917847,True
coat,lightgcn_k1,17,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6872893118770094,0.5021445981855235,0.14733096085409253,14.308896797153025,0.04834329037820803,281,8.103035688400269,True
coat,lightgcn_k2,17,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.696921097066696,0.510608287521099,0.15302491103202848,14.866903914590749,0.056224053440121144,281,8.919701337814331,True
coat,lightgcn_k3,17,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6962775327691803,0.5121841632072949,0.1587188612099644,15.182918149466191,0.06169970562087418,281,12.595070362091064,True
coat,corrected_k2,17,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6914101266371518,0.5028149736779629,0.14306049822064057,14.246975088967972,0.046653004775747284,281,9.426933288574219,True
coat,corrected_k2_stronger,17,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6823303695294838,0.5012490326992106,0.14377224199288255,14.158718861209966,0.04358019529565177,281,9.53667688369751,True
coat,zero_hop,18,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6535352773083326,0.46480527677146893,0.14519572953736654,14.132384341637012,0.04199141345594631,281,7.056377172470093,True
coat,lightgcn_k1,18,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6697288520441251,0.49054856274607167,0.1409252669039146,14.170818505338078,0.04481244485112169,281,8.021054744720459,True
coat,lightgcn_k2,18,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6833578049683949,0.5073915359057708,0.15160142348754446,14.68185053380783,0.048454333836489616,281,9.061223983764648,True
coat,lightgcn_k3,18,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6933636784911024,0.5161978640181487,0.15800711743772242,15.055516014234877,0.05528932788351,281,10.435996294021606,True
coat,corrected_k2,18,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6777187516987591,0.49693033834492917,0.1487544483985765,14.41779359430605,0.046251738563232586,281,9.557368993759155,True
coat,corrected_k2_stronger,18,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.669086852164568,0.4825666474687827,0.1480427046263345,14.337366548042706,0.042098297022069145,281,9.365550756454468,True
coat,zero_hop,19,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6625309172628111,0.4813290061065861,0.14163701067615658,14.086832740213524,0.04658118223331554,281,6.880622148513794,True
coat,lightgcn_k1,19,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6707934842363192,0.48536346512325157,0.15088967971530248,14.497508896797154,0.04544792221672857,281,7.999173879623413,True
coat,lightgcn_k2,19,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6831211524175573,0.5028691010452576,0.15160142348754446,14.77081850533808,0.05451423862458172,281,9.105223178863525,True
coat,lightgcn_k3,19,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6899296762346077,0.510616503899422,0.1587188612099644,15.108896797153026,0.06068204199978289,281,12.460636138916016,True
coat,corrected_k2,19,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.675802040957866,0.49319303176064744,0.15088967971530248,14.476156583629892,0.044303244855974706,281,9.249940872192383,True
coat,corrected_k2_stronger,19,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.676685950864229,0.49553739558187965,0.14661921708185055,14.348042704626335,0.046387393879294324,281,9.386691570281982,True
